native,target,geographic_distance,family_distance,phonological_distance,syntactic_distance,inventory_distance,same_script,family_distance_norm,phonological_distance_norm,syntactic_distance_norm,inventory_distance_norm,geographic_distance_norm,difficulty_score
deu,tgl,5.396389294162262,3.605551275463989,2.449489742783178,6.082762530298219,5.0,1,0.6682649357631881,0.7745966692414833,0.7373232771465221,0.594574598116085,0.8600029420399505,0.6737796402880419
ita,eng,0.9093742609794797,4.0,1.7320508075688772,3.3166247903554,5.385164807134504,1,0.7694321068130031,0.5477225575051661,0.3004556856387994,0.7000323577980808,0.11880614835704191,0.5387965696355165
ita,spa,0.7166617738296064,2.6457513110645907,1.4142135623730951,1.7320508075688772,4.58257569495584,1,0.42209796618756334,0.4472135954999579,0.05019735271859641,0.48028421843609864,0.0869725403744929,0.3248635190591172
ita,fra,0.6055873019270347,2.6457513110645907,2.23606797749979,3.7416573867739413,4.58257569495584,1,0.42209796618756334,0.7071067811865475,0.36758284421387466,0.48028421843609864,0.06862447560863662,0.4523965105415274
ita,deu,0.380102151963136,3.605551275463989,2.0,3.872983346207417,4.898979485566356,1,0.6682649357631881,0.6324555320336759,0.3883236969818679,0.5669152768677277,0.03137724801069346,0.5228642570644427
ita,por,0.8396447341200988,2.449489742783178,1.0,1.7320508075688772,3.605551275463989,1,0.37176131553116615,0.31622776601683794,0.05019735271859641,0.2127758570134721,0.1072877332523484,0.23790557192191686
ita,nld,0.6988108391036992,4.0,1.0,3.605551275463989,4.58257569495584,1,0.7694321068130031,0.31622776601683794,0.34608704225909204,0.48028421843609864,0.08402379705956353,0.45534780461832175
ita,rus,2.6057550911211655,3.3166247903554,0.0,3.7416573867739413,4.242640687119285,0,0.594161831046129,0.0,0.36758284421387466,0.3872103349974022,0.3990262998091062,0.37979798339667925
ita,pol,0.6543197515648576,3.4641016151377544,0.0,3.4641016151377544,4.795831523312719,1,0.6319862990455887,0.0,0.32374731147345703,0.5386734624196258,0.07667444538871261,0.3389800936407475
ita,cmn,4.448008321413264,3.605551275463989,2.23606797749979,5.291502622129181,5.830951894845301,0,0.6682649357631881,0.7071067811865475,0.6123563221945337,0.8220884405302838,0.7033426832725936,0.7082078407076724
ita,jpn,5.132318924992856,3.4641016151377544,2.449489742783178,6.557438524302,4.58257569495584,0,0.6319862990455887,0.7745966692414833,0.8122908231412682,0.48028421843609864,0.8163819357612644,0.7085649512057792
ita,kor,4.866727803172012,3.1622776601683795,2.449489742783178,6.244997998398398,5.385164807134504,0,0.5545752851926823,0.7745966692414833,0.7629457966554452,0.7000323577980808,0.7725097208325301,0.7062412519106033
ita,arb,1.9464956144080185,3.872983346207417,2.0,4.47213595499958,5.385164807134504,0,0.7368552096370148,0.6324555320336759,0.48295035037260314,0.7000323577980808,0.29012516916184644,0.6452716281018485
ita,hin,3.5062440356602487,3.7416573867739413,1.4142135623730951,5.385164807134504,5.916079783099616,0,0.703173073088302,0.4472135954999579,0.6271487790515345,0.84539637577117,0.5477754155360127,0.6523833037542632
ita,tur,1.0407650780912947,3.872983346207417,1.0,5.830951894845301,5.291502622129181,1,0.7368552096370148,0.31622776601683794,0.6975537804082217,0.6743877401834383,0.1405102103319748,0.5478079320210727
ita,vie,4.870733805820468,3.4641016151377544,2.449489742783178,5.0990195135927845,5.0,1,0.6319862990455887,0.7745966692414833,0.581956667535994,0.594574598116085,0.7731714606075392,0.627481153279036
ita,tha,4.796021862336424,4.358898943540674,2.449489742783178,5.0990195135927845,4.47213595499958,0,0.8614815635668237,0.7745966692414833,0.581956667535994,0.45004592215379513,0.7608300147798189,0.7240333589496769
ita,swh,3.576605662862337,4.58257569495584,2.23606797749979,5.916079783099616,4.123105625617661,1,0.9188495882623101,0.7071067811865475,0.7109983804275144,0.35448174828358864,0.5593982454340233,0.6757734223750722
ita,fin,1.5326442108859197,3.4641016151377544,1.4142135623730951,4.358898943540674,4.242640687119285,1,0.6319862990455887,0.4472135954999579,0.4650663600885159,0.3872103349974022,0.22176227510348465,0.46358222461115384
ita,hun,0.424815027593861,3.1622776601683795,1.4142135623730951,4.898979485566356,3.872983346207417,1,0.5545752851926823,0.4472135954999579,0.5503635172791851,0.285998504891242,0.038763236203010275,0.433086625432468
ita,ell,0.6093716541894139,3.4641016151377544,1.4142135623730951,3.1622776601683795,4.69041575982343,0,0.6319862990455887,0.4472135954999579,0.27607900401255236,0.509810726139399,0.06924960160939629,0.48654917839255624
ita,heb,1.4325719270055093,4.0,2.0,3.7416573867739413,5.656854249492381,0,0.7694321068130031,0.6324555320336759,0.36758284421387466,0.7744206699948047,0.2052316293623509,0.6388847658624331
ita,ind,5.762465115226141,4.123105625617661,1.7320508075688772,4.69041575982343,4.123105625617661,1,0.8010059137728462,0.5477225575051661,0.5174241841340927,0.35448174828358864,0.9204739283885119,0.5799132089969279
ita,tgl,5.489691379128364,4.0,2.0,5.0990195135927845,4.58257569495584,1,0.7694321068130031,0.6324555320336759,0.581956667535994,0.48028421843609864,0.8754152385687971,0.6211482432533734
por,eng,0.7562694941627559,4.242640687119285,1.4142135623730951,3.4641016151377544,4.69041575982343,1,0.831663951842585,0.4472135954999579,0.32374731147345703,0.509810726139399,0.09351522300401728,0.5071994167935671
por,spa,0.19015235087951507,1.0,1.7320508075688772,2.0,4.69041575982343,1,0.0,0.5477225575051661,0.09251567861159542,0.509810726139399,0.0,0.2319053840195205
por,fra,0.5014123424142881,2.23606797749979,2.0,3.3166247903554,4.242640687119285,1,0.3170234626972503,0.6324555320336759,0.3004556856387994,0.3872103349974022,0.051416120967104656,0.37396441524331947
por,deu,0.905575218464106,3.872983346207417,2.23606797749979,4.0,4.58257569495584,1,0.7368552096370148,0.7071067811865475,0.40838396325945503,0.48028421843609864,0.11817859571667051,0.5574616133908806
por,ita,0.8396447341200988,2.449489742783178,1.0,1.7320508075688772,3.605551275463989,1,0.37176131553116615,0.31622776601683794,0.05019735271859641,0.2127758570134721,0.1072877332523484,0.23790557192191686
por,nld,0.7947775622047489,4.242640687119285,1.4142135623730951,3.7416573867739413,4.242640687119285,1,0.831663951842585,0.4472135954999579,0.36758284421387466,0.3872103349974022,0.0998762573113623,0.4978945163857183
por,rus,3.2225252463833804,3.605551275463989,1.0,3.3166247903554,4.58257569495584,0,0.6682649357631881,0.31622776601683794,0.3004556856387994,0.48028421843609864,0.5009087446279714,0.48671562935773915
por,pol,1.2299776993908402,3.7416573867739413,1.0,3.3166247903554,4.69041575982343,1,0.703173073088302,0.31622776601683794,0.3004556856387994,0.509810726139399,0.17176568578601673,0.4351598937686707
por,cmn,4.936179595192632,3.872983346207417,2.449489742783178,5.0,5.744562646538029,0,0.7368552096370148,0.7745966692414833,0.5663181055833848,0.7984351461006214,0.7839822577374714,0.7369337361201191
por,jpn,5.5163727560552305,3.7416573867739413,2.23606797749979,6.324555320336759,4.69041575982343,0,0.703173073088302,0.7071067811865475,0.775510614061369,0.509810726139399,0.8798226566146445,0.7132934817870434
por,kor,5.290805120778522,3.4641016151377544,2.23606797749979,6.164414002968976,5.291502622129181,0,0.6319862990455887,0.7071067811865475,0.750218832452264,0.6743877401834383,0.8425618035108967,0.7097026027038269
por,arb,2.6926227194328947,4.123105625617661,2.23606797749979,4.58257569495584,5.830951894845301,0,0.8010059137728462,0.7071067811865475,0.500392555981073,0.8220884405302838,0.41337570740042,0.7111390320742689
por,hin,4.195193092436674,4.0,1.7320508075688772,5.0990195135927845,5.656854249492381,0,0.7694321068130031,0.5477225575051661,0.581956667535994,0.7744206699948047,0.6615808804424524,0.6833937494487345
por,tur,1.8541906479620154,4.123105625617661,1.4142135623730951,5.5677643628300215,5.196152422706632,1,0.8010059137728462,0.4472135954999579,0.6559874832690368,0.6482809458188583,0.27487758370362336,0.5942886907186606
por,vie,5.426087729980195,3.7416573867739413,2.23606797749979,5.0,4.898979485566356,1,0.703173073088302,0.7071067811865475,0.5663181055833848,0.5669152768677277,0.8649087391551512,0.6292749668277211
por,tha,5.374559489316835,4.58257569495584,2.23606797749979,5.0,4.358898943540674,0,0.9188495882623101,0.7071067811865475,0.5663181055833848,0.41904173558134306,0.8563969408925292,0.7213713002738349
por,swh,3.970989855255391,4.795831523312719,2.0,5.830951894845301,4.242640687119285,1,0.9735448820299054,0.6324555320336759,0.6975537804082217,0.3872103349974022,0.6245454082402967,0.6789969243606601
por,fin,1.8812628807688514,3.7416573867739413,1.7320508075688772,4.0,4.58257569495584,1,0.703173073088302,0.5477225575051661,0.40838396325945503,0.48028421843609864,0.27934956608074296,0.515569465024125
por,hun,1.1856284862019049,3.4641016151377544,1.0,4.58257569495584,4.242640687119285,1,0.6319862990455887,0.31622776601683794,0.500392555981073,0.3872103349974022,0.16443976992103648,0.4350348811597628
por,ell,1.4368553443971686,3.7416573867739413,1.0,3.0,4.795831523312719,0,0.703173073088302,0.31622776601683794,0.2504498209355252,0.5386734624196258,0.20593919446147013,0.4811968067038225
